,season_end,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,salary
0,2001,485.022442645073,61.86882591093117,134.29311740890688,9.835627530364372,27.761133603238868,37.36032388663968,49.953036437246965,24.131983805668018,61.22753036437247,43.723076923076924,15.709311740890689,10.612145748987855,28.814574898785423,45.016194331983804,190.60485829959515,3815931.782695375
1,2002,481.11191829004366,61.81087662337662,132.84983766233765,10.466720779220779,29.689935064935064,35.925324675324674,47.8198051948052,24.406655844155843,60.366883116883116,43.77029220779221,15.520292207792208,10.439123376623376,27.56331168831169,42.45454545454545,190.94724025974025,3918008.414868592
2,2003,486.4162355160285,61.649151172190784,133.3241713823767,10.413904607922392,29.731608730800325,37.52465642683913,49.514147130153596,24.46564268391269,61.29345189975748,43.33548908649959,15.946645109135003,10.145513338722717,28.7696038803557,44.14389652384802,192.06467259498788,4135339.17771683
3,2004,480.66582928146914,59.253646677471636,129.0186385737439,10.318476499189627,29.836304700162074,36.26985413290114,48.341977309562395,24.03646677471637,60.240680713128036,42.37763371150729,15.756888168557536,10.160453808752026,28.334683954619123,42.87763371150729,185.7325769854133,4210677.725653303
4,2005,485.9256211180124,61.036490683229815,129.65450310559007,11.3027950310559,31.81366459627329,39.54347826086956,52.37888198757764,24.214285714285715,60.16304347826087,42.61723602484472,15.09083850931677,9.966614906832298,27.81832298136646,45.69409937888199,195.5248447204969,4257475.405420795
5,2006,488.69959917248696,60.70131885182312,126.7633824670287,11.69200930954228,32.69123351435221,39.63615205585725,53.148176881303336,22.47944142746315,60.336695112490304,41.353762606671836,14.419705197827774,9.514352211016291,27.696664080682698,46.20403413498836,196.11481768813033,4471010.017394593
6,2007,494.5310475444007,61.86520376175549,127.64420062695925,12.586206896551724,35.122257053291534,40.008620689655174,53.24764890282132,22.713166144200628,61.255485893416925,43.33620689655172,14.85501567398119,9.467084639498433,29.586206896551722,45.61677115987461,201.4976489028213,4535205.412496265
7,2008,490.0866744975215,62.007830853563036,128.28660924040722,13.478465152701645,37.23884103367267,38.223962411902896,50.52075176194205,22.48551292090838,62.29992169146437,44.342208300704776,14.778386844166015,9.503523884103368,27.43304620203602,42.86609240407204,202.6750195771339,4976712.828279014
8,2009,484.1385833987948,61.09347996857816,125.82325216025137,13.360565593087195,36.521602513747055,38.34878240377062,49.80911233307148,22.19324430479183,60.94108405341712,41.9795758051846,14.58444619010212,9.653574234092694,26.889238020424195,42.51374705420267,200.61743912018852,5161291.3879575245
9,2010,491.55093322818243,63.09621451104101,128.4171924290221,13.067034700315457,36.988958990536275,37.74763406940063,49.76735015772871,22.186119873817034,62.35725552050473,43.34069400630915,14.671135646687697,9.805205047318612,27.586750788643535,42.6198738170347,203.141167192429,5081199.7565277405
10,2011,485.5280888538337,61.72712933753943,126.8288643533123,13.047318611987382,36.444006309148264,37.47791798107256,49.04416403785489,21.922712933753942,61.23264984227129,43.06940063091483,14.795741324921135,9.81230283911672,27.332807570977916,41.72791798107256,200.07413249211356,5011666.315590659
11,2012,482.92623079334436,60.019755409219194,126.1994355597366,12.942615239887113,37.20602069614299,34.00282220131703,45.13546566321731,22.53527751646284,61.48824082784572,42.02822201317027,15.368767638758232,10.179680150517404,27.82878645343368,39.363123236124174,192.87017873941676,4899831.830554931
12,2013,490.7320432629602,60.863956215793586,126.34792806880375,14.516810007818608,40.46364347146208,34.17279124315872,45.34323690383112,22.78264268960125,63.23455824863174,44.60828772478499,15.738858483189992,10.468334636434715,28.285379202501954,40.78733385457389,199.45113369820172,4799336.188093846
13,2014,459.9820963541612,57.98203125,118.6140625,14.8859375,41.2109375,34.58671875,45.63984375,20.73203125,60.94921875,42.07890625,14.61953125,8.9171875,26.8859375,39.14921875,195.20859375,5184929.5497047445
14,2015,493.334302935,60.83018867924528,125.61399371069183,16.1438679245283,46.10849056603774,35.115566037735846,46.99528301886792,22.483490566037737,67.02044025157232,44.878144654088054,15.815251572327044,9.879716981132075,28.096698113207548,41.80896226415094,205.20754716981133,4901390.908853506
15,2016,492.81856805664256,60.539732494099134,123.43273013375295,17.607395751376867,49.66011014948859,36.10542879622344,47.719118804091266,21.325727773406765,67.98662470495672,45.66011014948859,16.035405192761605,10.051140833988985,28.18095987411487,41.56412273800157,210.00708103855231,5511563.919675252
16,2017,493.3986286919732,59.890822784810126,118.9992088607595,20.003164556962027,55.936708860759495,36.39398734177215,47.1376582278481,20.581487341772153,68.29667721518987,46.9501582278481,15.749208860759493,9.608386075949367,27.462025316455698,40.863132911392405,216.18512658227849,6927696.532107096
17,2018,489.8049050632838,59.28876582278481,116.23101265822785,21.479430379746834,59.45411392405063,33.94303797468354,44.14319620253165,19.685126582278482,68.7745253164557,47.56962025316456,15.707278481012658,9.72389240506329,27.871835443037973,40.287974683544306,216.95886075949366,7474589.9062763965
18,2019,476.7627768987203,58.65664556962025,113.0506329113924,22.623417721518987,63.77215189873418,35.18037974683544,45.84731012658228,20.475474683544302,69.01028481012658,48.629746835443036,15.058544303797468,9.750791139240507,26.736550632911392,41.43987341772152,220.3639240506329,8493636.027011754
19,2020,473.07457947132275,56.51699279093718,108.12667353244078,23.842430484037074,66.74871266735325,34.932028836251284,45.28939237899073,19.88465499485067,68.42224510813594,48.15447991761071,15.0216271884655,9.696189495365603,27.38928939237899,40.441812564366636,219.49330587023687,8568892.019690506
20,2021,472.9989261168215,56.034364261168385,105.7405498281787,24.989690721649485,68.15721649484536,33.54553264604811,43.077319587628864,19.355670103092784,67.9201030927835,48.468213058419245,14.762886597938145,9.49742268041237,25.79725085910653,38.25429553264605,220.58333333333334,8236472.147262506
